Team Name,Short Name,Full Name,Logo,Conference,League,City,State
Lindenwood,Lindenwood,Lindenwood,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lindenwood.svg,ASUN,NCAA MD1,St. Charles,MO
Mercer,Mercer,Mercer,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mercer.svg,ASUN,NCAA MD1,Macon,GA
Queens-(NC),Queens,Queens,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/queens-nc.svg,ASUN,NCAA MD1,Charlotte,NC
Robert-Morris,Robert Morris,Robert Morris,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/robert-morris.svg,ASUN,NCAA MD1,Moon Township,PA
Utah,Utah,Utah,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/utah.svg,ASUN,NCAA MD1,Salt Lake City,UT
Denver,Denver,Denver,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/denver.svg,Big East,NCAA MD1,Denver,CO
Georgetown,Georgetown,Georgetown,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg,Big East,NCAA MD1,Washington,D.C.
Marquette,Marquette,Marquette,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marquette.svg,Big East,NCAA MD1,Milwaukee,WI
Providence,Providence,Providence,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg,Big East,NCAA MD1,Providence,RI
St.-John's-(NY),St. John's,St. John's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg,Big East,NCAA MD1,Queens,NY
Villanova,Villanova,Villanova,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg,Big East,NCAA MD1,Philadelphia,PA
Johns-Hopkins,Johns Hopkins,Johns Hopkins,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/johns-hopkins.svg,Big Ten,NCAA MD1,Baltimore,MD
Maryland,Maryland,Maryland,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg,Big Ten,NCAA MD1,College Park,MD
Michigan,Michigan,Michigan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,Big Ten,NCAA MD1,Ann Arbor,MI
Ohio-St.,Ohio St.,Ohio St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg,Big Ten,NCAA MD1,Columbus,OH
Penn-St.,Penn State,Penn State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/penn-st.svg,Big Ten,NCAA MD1,State ,PA
Rutgers,Rutgers,Rutgers,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rutgers.svg,Big Ten,NCAA MD1,New Brunswick,NJ
Delaware,Delaware,Delaware,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg,Colonial,NCAA MD1,Newark,DE
Drexel,Drexel,Drexel,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg,Colonial,NCAA MD1,Philadelphia,PA
Fairfield,Fairfield,Fairfield,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/fairfield.svg,Colonial,NCAA MD1,Fairfield,CT
Hampton,Hampton,Hampton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hampton.svg,Colonial,NCAA MD1,Hampton,VA
Hofstra,Hofstra,Hofstra,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/hofstra.svg,Colonial,NCAA MD1,Hempstead,NY
Monmouth,Monmouth,Monmouth,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth.svg,Colonial,NCAA MD1,West Long Branch,NJ
Stony-Brook,Stony Brook,Stony Brook,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stony-brook.svg,Colonial,NCAA MD1,Stony Brook,NY
Towson,Towson,Towson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg,Colonial,NCAA MD1,Towson,MD
